Region,alumnos_emed_estimados,total_mediadores_registrados,impacto_emed_pct
Región de Arica y Parinacota,21,150,14.000000000000002
Región de Tarapacá,28,205,13.658536585365855
Región de Antofagasta,30,217,13.82488479262673
Región de Magallanes y Antártica Chilena,12,83,14.457831325301203
Región de Aysén del Gral.Ibañez del Campo,3,25,12.0
Región de Atacama,13,93,13.978494623655912
Región de Coquimbo,36,259,13.8996138996139
Región de Valparaíso,98,702,13.96011396011396
Región Metropolitana de Santiago,380,2734,13.89904901243599
Región de Los Lagos,39,281,13.87900355871886
Región de Los Ríos,16,116,13.793103448275861
Región de La Araucanía,42,303,13.861386138613863
Región del Bío-Bío,55,394,13.959390862944163
Región de Ñuble,13,90,14.444444444444443
Región del Maule,37,268,13.805970149253731
Región del Libertador Bernardo OHiggins,40,290,13.793103448275861
