objectid,cir_sena,codregion,area_km,st_area_sh,st_length_,Region,total_mediadores_registrados,alumnos_emed_estimados,estudiantes_formacion,total_emed,impacto_emed_pct,impacto_total_pct
1084,1,15,16866.81984442,18868687743.9,750529.550114,Región de Arica y Parinacota,150,21,0,21,14.000000000000002,14.000000000000002
1085,2,1,42284.56748354,48306372202.6,1213713.11532,Región de Tarapacá,205,28,0,28,13.658536585365855,13.658536585365855
1086,3,2,126071.43198068,150845155633.0,2516112.01662,Región de Antofagasta,217,30,0,30,13.82488479262673,13.82488479262673
1087,15,12,133053.14234459,358131609833.0,90498303.5626,Región de Magallanes y Antártica Chilena,83,12,0,12,14.457831325301203,14.457831325301203
1088,14,11,106703.37736925,224274263072.0,41444810.6247,Región de Aysén del Gral.Ibañez del Campo,25,3,0,3,12.0,12.0
1089,4,3,75661.24863472,96439063561.8,2401740.67158,Región de Atacama,93,13,0,13,13.978494623655912,13.978494623655912
1090,5,4,40575.90168192,54980818748.6,2065933.11049,Región de Coquimbo,259,36,0,36,13.8996138996139,13.8996138996139
1091,6,5,16322.97039271,23014748570.7,1679609.19263,Región de Valparaíso,702,98,0,98,13.96011396011396,13.96011396011396
1092,7,13,15392.030737,22252038245.8,1064252.63501,Región Metropolitana de Santiago,2734,380,0,380,13.89904901243599,13.89904901243599
1093,13,10,48408.37135747,87718341939.8,7874157.85642,Región de Los Lagos,281,39,0,39,13.87900355871886,13.87900355871886
1094,12,14,18245.08056272,31086613540.1,1844422.51609,Región de Los Ríos,116,16,0,16,13.793103448275861,13.793103448275861
1095,11,9,31837.56763429,52215073343.9,1501025.2482,Región de La Araucanía,303,42,0,42,13.861386138613863,13.861386138613863
1096,10,8,24021.62159439,38176117509.3,2097147.28898,Región del Bío-Bío,394,55,0,55,13.959390862944163,13.959390862944163
1097,10,16,13104.41323064,20376298459.3,1074093.83999,Región de Ñuble,90,13,0,13,14.444444444444443,14.444444444444443
1098,9,7,30321.89065833,45969426092.2,1388327.97603,Región del Maule,268,37,0,37,13.805970149253731,13.805970149253731
1099,8,6,16349.02995665,24090278437.3,984852.617228,Región del Libertador Bernardo OHiggins,290,40,0,40,13.793103448275861,13.793103448275861
